SERVICEREQUESTID,SERVICEPRIORITY,SERVICECODE,SERVICECODEDESCRIPTION,SERVICETYPECODE,SERVICETYPECODEDESCRIPTION,SERVICEORDERDATE,SERVICEORDERSTATUS,SERVICECALLCOUNT,AGENCYABBREVIATION,INSPECTIONFLAG,INSPECTIONDATE,RESOLUTION,RESOLUTIONDATE,SERVICEDUEDATE,SERVICENOTES,PARENTSERVICEREQUESTID,ADDDATE,LASTMODIFIEDDATE,SITEADDRESS,LATITUDE,LONGITUDE,ZIPCODE,MARADDRESSREPOSITORYID,DCSTATADDRESSKEY,DCSTATLOCATIONKEY,WARD,ANC,SMD,DISTRICT,PSA,NEIGHBORHOODCLUSTER,HOTSPOT2006NAME,HOTSPOT2005NAME,HOTSPOT2004NAME,SERVICESOURCECODE
14-00029633,UNKNOWN,S0346,Sanitation Enforcement,SWMSWEEN,Sanitation Enforcement,2/7/2014 3:06:04 PM,CLOSED,1,DPW,Y,2/11/2014 4:17:00 PM,Ticket Issued - Close SR,2/11/2014 4:17:39 PM,2/14/2014 3:06:04 PM,,,2/7/2014 3:06:04 PM,2/11/2014 4:40:10 PM,316 UPSHUR STREET NW,38.94193606890480,-77.01641334532270,20011,244181,87107,87107,4,4C,4C10,FOURTH,407,18,NONE,NONE,NONE,PHONE
14-00029634,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/7/2014 3:06:12 PM,CLOSED,1,DDOT,N,2/11/2014 1:37:08 PM,UNKNOWN,2/11/2014 1:33:36 PM,2/14/2014 3:06:12 PM,Comments update:  14-00029634-  Meter Found Working,,2/7/2014 3:06:12 PM,2/12/2014 4:36:33 AM,400 SOUTH CAPITOL STREET SE,38.88496310891980,-77.00880456516280,,0,270459,270646,6,6B,6B01,FIRST,106,26,NONE,NONE,NONE,PHONE
14-00029635,UNKNOWN,S0031,Bulk Collection,SWMCOLBU,Bulk Collection,2/7/2014 3:07:22 PM,CLOSED,1,DPW,N,,UNKNOWN,2/18/2014 10:33:53 AM,3/4/2014 3:07:22 PM,,,2/7/2014 3:07:22 PM,9/9/2014 2:45:52 PM,1224 FARRAGUT PLACE NE,38.951802213355,-76.98902018429690,20017,70869,45115,45115,5,5A,5A04,FOURTH,405,20,NONE,NONE,NONE,PHONE
14-00029636,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/7/2014 3:07:24 PM,CLOSED,1,DDOT,N,2/11/2014 11:21:50 PM,UNKNOWN,2/11/2014 11:18:29 PM,2/14/2014 3:07:24 PM,Comments update:  14-00029636-Broken Parking Meter  Meter Found Working,,2/7/2014 3:07:24 PM,2/12/2014 10:36:13 AM,1400 - 1499 BLOCK P STREET NW,38.90965198608070,-77.03325427679380,,0,454898,390926,2,2F,2F01,SECOND,208,7,NONE,NONE,NONE,OPEN311
14-00029637,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/7/2014 3:08:05 PM,CLOSED,1,DDOT,N,2/11/2014 2:22:13 PM,UNKNOWN,2/11/2014 2:18:19 PM,2/14/2014 3:08:05 PM,Comments update:  14-00029637-Broken Parking Meter  Meter Found Working,,2/7/2014 3:08:05 PM,2/12/2014 7:36:16 AM,1300 - 1699 BLOCK CONNECTICUT AVENUE NW,38.90992776334640,-77.04360696393170,,0,461776,397358,2,2B,2B02,SECOND,208,6,NONE,NONE,NONE,OPEN311
14-00029638,UNKNOWN,DMV19,DMV - Vehicle Registration Issues,DRIVEHSE,Driver Vehicle Services,2/7/2014 3:09:28 PM,CLOSED,1,DMV,N,2/11/2014 2:47:00 PM,Mailed - Close SR,2/11/2014 2:47:50 PM,2/20/2014 1:09:28 AM,rpl sticker mailed,,2/7/2014 3:09:28 PM,2/11/2014 3:07:06 PM,610 7TH STREET SW,38.88155916604950,-77.02164584932280,20024,276691,118800,118800,6,6D,6D01,FIRST,105,9,NONE,NONE,NONE,PHONE
14-00029639,UNKNOWN,S0391,Street Cleaning,STRALLCL,Street Cleaning,2/7/2014 3:11:06 PM,CLOSED,1,DPW,N,,UNKNOWN,2/20/2014 1:20:12 PM,3/20/2014 3:11:06 PM,,,2/7/2014 3:11:06 PM,10/23/2014 2:51:09 PM,1304 45TH PLACE SE,38.87458857942370,-76.93463479311320,20019,68668,43104,43104,7,7E,7E02,SIXTH,604,33,NONE,NONE,NONE,WEB
14-00029640,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/7/2014 3:11:39 PM,CLOSED,1,DDOT,N,2/7/2014 3:51:38 PM,UNKNOWN,2/7/2014 3:48:06 PM,2/14/2014 3:11:39 PM,Comments update:  14-00029640-there's no 8-digit parking meter on meter..  coins did not register.Address Not Found,,2/7/2014 3:11:39 PM,2/8/2014 7:40:16 PM,25TH STREET NW & M STREET NW,38.90525737190790,-77.05329586662770,,0,273934,274121,2,2A,2A02,SECOND,207,5,NONE,NONE,NONE,PHONE
14-00029641,UNKNOWN,S0261,Parking Enforcement,PARKENFO,Parking Enforcement,2/7/2014 3:11:49 PM,CLOSED,1,DPW,Y,2/7/2014 8:10:00 PM,Vehicle Gone on Arrival - Close SR,2/7/2014 8:10:41 PM,2/11/2014 3:11:49 PM,GOA @ 6:55 PM PER BADGE 414,,2/7/2014 3:11:49 PM,12/4/2014 9:20:16 AM,7600 GEORGIA AVENUE NW,38.98216028375990,-77.02697441509740,20012,253572,96481,96481,4,4A,4A02,FOURTH,401,16,NONE,NONE,NONE,PHONE
14-00029642,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/7/2014 3:12:20 PM,CLOSED,1,DDOT,N,2/10/2014 9:08:18 PM,UNKNOWN,2/10/2014 9:03:18 PM,2/14/2014 3:12:20 PM,Comments update:  14-00029642-Broken Parking Meter  Meter Found Working,,2/7/2014 3:12:20 PM,2/11/2014 12:38:27 AM,3000 - 3099 BLOCK WINDOM PLACE NW,38.94547490473240,-77.06471638305060,,0,475162,408932,3,3F,3F02,SECOND,203,12,NONE,NONE,NONE,OPEN311
14-00029643,UNKNOWN,S0011,Alley Cleaning,STRALLCL,Street Cleaning,2/7/2014 3:12:51 PM,CLOSED,1,DPW,N,,UNKNOWN,2/20/2014 1:33:04 PM,3/25/2014 3:12:51 PM,,,2/7/2014 3:12:51 PM,10/23/2014 2:51:09 PM,2424 EVARTS STREET NE,38.92483268931970,-76.97091277410690,20018,47286,25125,25125,5,5B,5B02,FIFTH,503,22,NONE,NONE,NONE,PHONE
14-00029644,UNKNOWN,S0321,Recycling Collection - Missed,SWMCOLRE,Recycling,2/7/2014 3:12:52 PM,OVERDUE CLOSED,1,DPW,N,2/10/2014 3:15:00 PM,Icy Road/Close SR,2/27/2014 3:15:22 PM,2/11/2014 3:12:52 PM,Due to snow. Closed out by T.Thompson.,,2/7/2014 3:12:52 PM,2/25/2015 2:04:15 PM,1931 JACKSON STREET NE,38.92996285920890,-76.97664721424380,20018,53591,23169,23169,5,5A,5A10,FIFTH,504,22,NONE,NONE,NONE,PHONE
14-00029645,UNKNOWN,S0011,Alley Cleaning,STRALLCL,Street Cleaning,2/7/2014 3:13:37 PM,CLOSED,1,DPW,N,,UNKNOWN,2/20/2014 1:39:37 PM,3/25/2014 3:13:37 PM,,,2/7/2014 3:13:37 PM,10/23/2014 2:51:09 PM,26TH STREET NE & EVARTS STREET NE,38.92455721299920,-76.97017452840810,,0,279330,279517,5,5B,5B02,FIFTH,503,22,NONE,NONE,NONE,PHONE
14-00029646,UNKNOWN,S0476,Yard Waste- Missed,COLLDIVI,Yard Waste,2/7/2014 3:19:39 PM,OVERDUE CLOSED,1,DPW,N,2/17/2014 1:55:00 PM,Icy Road/Close SR,3/6/2014 6:11:07 AM,2/14/2014 3:19:39 PM,due to snow.  closed by rg,,2/7/2014 3:19:39 PM,3/6/2014 6:40:59 AM,1517 33RD STREET NW,38.90931888460240,-77.065913219762,20007,272609,115403,115403,2,2E,2E03,SECOND,206,4,NONE,NONE,NONE,PHONE
14-00029647,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/7/2014 3:21:08 PM,CLOSED,1,DDOT,N,2/11/2014 11:21:50 PM,UNKNOWN,2/11/2014 11:18:30 PM,2/14/2014 3:21:08 PM,Comments update:  14-00029647-Broken Parking Meter  Meter Found Working,,2/7/2014 3:21:08 PM,2/12/2014 10:36:13 AM,1400 - 1499 BLOCK P STREET NW,38.90965198608070,-77.03325427679380,,0,454898,390926,2,2F,2F01,SECOND,208,7,NONE,NONE,NONE,OPEN311
14-00029648,UNKNOWN,F3242,Christmas Tree Removal - Seasonal,SWMCOLSE,Collections - Seasonal,2/7/2014 3:21:14 PM,OVERDUE CLOSED,1,DPW,N,2/12/2014 8:03:00 AM,Collected - Close SR,2/12/2014 8:03:25 AM,2/11/2014 3:21:14 PM,COMPLETED BY SH........CLOSED BY NDAVALL,,2/7/2014 3:21:14 PM,10/23/2014 2:51:09 PM,5323 NEBRASKA AVENUE NW,38.95988073341060,-77.06678562925520,20015,262500,105364,105364,3,3G,3G03,SECOND,201,10,NONE,NONE,NONE,PHONE
14-00029649,UNKNOWN,S0301,Pothole,STRBRIMA,Street & Bridge Maintenance,2/7/2014 3:21:26 PM,CLOSED,1,DDOT,N,2/8/2014 5:56:34 AM,UNKNOWN,2/8/2014 5:56:51 AM,2/12/2014 3:21:26 PM,"POTHOLE STREET REPAIR ( WO # 405600 )Projected Start:  FEB 08, 2014    Finish: FEB 10, 2014   Actual Start:  N/A    Finish: FEB 07, 2014",,2/7/2014 3:21:26 PM,2/8/2014 11:35:05 PM,4TH STREET NW & MASSACHUSETTS AVENUE NW,38.90017671792660,-77.01619793033970,,0,207911,207911,6,6C,6C09,FIRST,103,8,NONE,NONE,NONE,WEB
14-00029650,UNKNOWN,S0261,Parking Enforcement,PARKENFO,Parking Enforcement,2/7/2014 3:21:44 PM,CLOSED,1,DPW,Y,2/7/2014 6:18:00 PM,Not Enforceable - Close SR,2/7/2014 6:34:08 PM,2/11/2014 3:21:44 PM,NO VIOLATION @ 6:10PM,,2/7/2014 3:21:44 PM,5/29/2014 11:14:34 AM,1454 IRVING STREET NW,38.92846265916510,-77.03476883891210,20010,218292,61406,61406,1,1A,1A03,THIRD,302,2,NONE,NONE,NONE,PHONE
14-00029652,UNKNOWN,S0261,Parking Enforcement,PARKENFO,Parking Enforcement,2/7/2014 3:22:46 PM,CLOSED,1,DPW,Y,2/7/2014 9:15:00 PM,Not Enforceable - Close SR,2/7/2014 9:17:50 PM,2/11/2014 3:22:46 PM,NO VIOLATION @ 7:45PM BDG 432,,2/7/2014 3:22:46 PM,2/7/2014 9:37:44 PM,1441 L STREET NW,38.903949388983,-77.03376506492110,20005,240245,83543,83543,2,2F,2F03,SECOND,207,8,NONE,NONE,NONE,PHONE
14-00029651,UNKNOWN,S0031,Bulk Collection,SWMCOLBU,Bulk Collection,2/7/2014 3:22:46 PM,CLOSED,1,DPW,N,,UNKNOWN,2/20/2014 10:49:39 AM,3/4/2014 3:22:46 PM,,,2/7/2014 3:22:46 PM,2/25/2015 2:04:15 PM,2604 36TH PLACE NW,38.92408610323460,-77.07224979892680,20007,262708,105532,105532,3,3C,3C08,SECOND,204,14,NONE,NONE,NONE,PHONE
14-00029653,UNKNOWN,S0261,Parking Enforcement,PARKENFO,Parking Enforcement,2/7/2014 3:23:37 PM,CLOSED,1,DPW,Y,2/7/2014 6:35:00 PM,Vehicle Gone on Arrival - Close SR,2/7/2014 6:35:53 PM,2/11/2014 3:23:37 PM,GOA @ 6:15PM BDG 434,,2/7/2014 3:23:37 PM,11/4/2014 12:35:55 PM,1407 IRVING STREET NE,38.92856081376630,-76.98562688908040,20017,64851,39984,39984,5,5B,5B04,FIFTH,504,22,NONE,NONE,NONE,PHONE
14-00029654,UNKNOWN,S05SL,Streetlight Repair Investigation,TRAOP001,TOA,2/7/2014 3:23:40 PM,OVERDUE CLOSED,1,DDOT,N,2/15/2014 1:37:19 AM,UNKNOWN,2/15/2014 1:33:07 AM,2/11/2014 3:23:40 PM,Comments update:  14-00029654-street light is out for the one weekRepairs Completed,,2/7/2014 3:23:40 PM,2/15/2014 2:07:58 AM,5064 LOWELL STREET NW,38.93205061445490,-77.10342786724360,20016,268570,111451,111451,3,3D,3D04,SECOND,205,13,NONE,NONE,NONE,PHONE
14-00029655,UNKNOWN,S0301,Pothole,STRBRIMA,Street & Bridge Maintenance,2/7/2014 3:24:15 PM,CLOSED,1,DDOT,N,2/10/2014 7:37:49 AM,UNKNOWN,2/10/2014 7:37:52 AM,2/12/2014 3:24:15 PM,"POTHOLE ALLEY REPAIR ( WO # 405605 )Projected Start:  FEB 08, 2014    Finish: FEB 10, 2014   Actual Start:  N/A    Finish: FEB 08, 2014",,2/7/2014 3:24:15 PM,2/10/2014 8:35:17 AM,NORTH CAPITOL STREET NW & O STREET NW,38.90836278416180,-77.00915842449840,,0,372232,331663,5,5C,5C02,FIFTH,501,21,NONE,NONE,NONE,WEB
14-00029656,UNKNOWN,S0031,Bulk Collection,SWMCOLBU,Bulk Collection,2/7/2014 3:24:29 PM,CLOSED,1,DPW,N,,UNKNOWN,2/24/2014 11:31:06 AM,3/4/2014 3:24:29 PM,,,2/7/2014 3:24:29 PM,12/15/2014 10:03:34 AM,1415 CARROLLSBURG PLACE SW,38.87247063739690,-77.01006288040920,20024,64555,39648,39648,6,6D,6D06,FIRST,105,9,NONE,NONE,NONE,PHONE
14-00029657,UNKNOWN,S0301,Pothole,STRBRIMA,Street & Bridge Maintenance,2/7/2014 3:26:10 PM,CLOSED,1,DDOT,N,2/10/2014 8:05:06 AM,UNKNOWN,2/10/2014 8:05:09 AM,2/12/2014 3:26:10 PM,"POTHOLE STREET REPAIR ( WO # 405607 )Projected Start:  FEB 08, 2014    Finish: FEB 10, 2014   Actual Start:  N/A    Finish: FEB 09, 2014",,2/7/2014 3:26:10 PM,2/10/2014 9:35:42 AM,41ST STREET NW & LIVINGSTON STREET NW,38.96309053365980,-77.08028475921690,,0,276707,276894,3,3G,3G06,SECOND,201,10,NONE,NONE,NONE,WEB
14-00029658,UNKNOWN,S0031,Bulk Collection,SWMCOLBU,Bulk Collection,2/7/2014 3:26:34 PM,CLOSED,1,DPW,N,,UNKNOWN,2/24/2014 11:37:27 AM,3/4/2014 3:26:34 PM,,,2/7/2014 3:26:34 PM,12/15/2014 10:03:34 AM,614 G STREET SE,38.88146827529280,-76.99783095759320,20003,4276,3644,3644,6,6B,6B03,FIRST,107,26,NONE,NONE,NONE,PHONE
14-00029659,UNKNOWN,S0301,Pothole,STRBRIMA,Street & Bridge Maintenance,2/7/2014 3:27:52 PM,CLOSED,1,DDOT,N,2/10/2014 8:02:41 AM,UNKNOWN,2/10/2014 8:02:43 AM,2/12/2014 3:27:52 PM,"POTHOLE STREET REPAIR ( WO # 405606 )Projected Start:  FEB 08, 2014    Finish: FEB 10, 2014   Actual Start:  N/A    Finish: FEB 09, 2014",,2/7/2014 3:27:52 PM,2/10/2014 9:35:42 AM,41ST STREET NW & FESSENDEN STREET NW,38.95470283714020,-77.080304615886,,0,274804,274991,3,3E,3E04,SECOND,202,11,NONE,NONE,NONE,WEB
14-00029660,UNKNOWN,S0391,Street Cleaning,STRALLCL,Street Cleaning,2/7/2014 3:29:39 PM,CLOSED,1,DPW,N,,UNKNOWN,2/20/2014 1:58:47 PM,3/20/2014 3:29:39 PM,,,2/7/2014 3:29:39 PM,2/25/2015 2:04:15 PM,2405 IRVING PLACE SE,38.85207768249260,-76.97192258075150,20020,47719,25372,25372,8,8B,8B04,SEVENTH,702,36,NONE,NONE,NONE,PHONE
14-00029661,UNKNOWN,S0181,Illegal Dumping,SWMSWEDU,Illegal Dumping,2/7/2014 3:29:44 PM,OVERDUE CLOSED,1,DPW,Y,,UNKNOWN,2/18/2014 1:41:01 PM,2/14/2014 3:29:44 PM,,,2/7/2014 3:29:44 PM,8/28/2014 5:28:06 PM,614 G STREET SE,38.88146827529280,-76.99783095759320,20003,4276,3644,3644,6,6B,6B03,FIRST,107,26,NONE,NONE,NONE,PHONE
14-00029662,UNKNOWN,S0391,Street Cleaning,STRALLCL,Street Cleaning,2/7/2014 3:29:51 PM,CLOSED,1,DPW,N,2/20/2014 2:24:00 PM,Complete - Close SR,2/20/2014 2:24:58 PM,3/20/2014 3:29:51 PM,COMPLETED BY AJONES........CLOSED BY NDAVALL,,2/7/2014 3:29:51 PM,10/23/2014 2:51:09 PM,538 COLUMBIA ROAD NW,38.92818619088550,-77.020749377531,20001,229439,72147,72147,1,1B,1B10,THIRD,302,2,NONE,NONE,NONE,PHONE
14-00029663,UNKNOWN,S0011,Alley Cleaning,STRALLCL,Street Cleaning,2/7/2014 3:29:52 PM,CLOSED,1,DPW,N,,UNKNOWN,2/24/2014 12:28:53 PM,3/25/2014 3:29:52 PM,,,2/7/2014 3:29:52 PM,2/25/2015 2:04:15 PM,2405 IRVING PLACE SE,38.85207768249260,-76.97192258075150,20020,47719,25372,25372,8,8B,8B04,SEVENTH,702,36,NONE,NONE,NONE,PHONE
14-00029664,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/7/2014 3:29:54 PM,CLOSED,1,DDOT,N,2/9/2014 9:53:43 PM,UNKNOWN,2/9/2014 9:48:15 PM,2/14/2014 3:29:54 PM,Comments update:  14-00029664-Broken Parking MeterNo Action Taken,,2/7/2014 3:29:54 PM,2/10/2014 1:07:15 AM,1900 - 1999 BLOCK N STREET NW,38.90724286665010,-77.04416701457170,,0,455342,391370,2,2B,2B06,SECOND,208,6,NONE,NONE,NONE,OPEN311
14-00029665,UNKNOWN,S0301,Pothole,STRBRIMA,Street & Bridge Maintenance,2/7/2014 3:30:56 PM,CLOSED,1,DDOT,N,2/8/2014 11:17:51 AM,UNKNOWN,2/8/2014 11:17:53 AM,2/12/2014 3:30:56 PM,"POTHOLE STREET REPAIR ( WO # 405608 )Projected Start:  FEB 08, 2014    Finish: FEB 10, 2014   Actual Start:  N/A    Finish: FEB 08, 2014",,2/7/2014 3:30:56 PM,2/9/2014 3:35:59 AM,SOUTH DAKOTA AVENUE NE & V STREET NE,38.918932265995,-76.95595266910540,,0,225732,225732,5,5A,5A12,FIFTH,503,24,NONE,NONE,NONE,WEB
14-00029666,UNKNOWN,S0391,Street Cleaning,STRALLCL,Street Cleaning,2/7/2014 3:31:10 PM,CLOSED,1,DPW,N,2/20/2014 2:44:00 PM,Complete - Close SR,2/20/2014 2:45:09 PM,3/20/2014 3:31:10 PM,COMPLETED BY AJONES....CLOSED BY NDAVALL,,2/7/2014 3:31:10 PM,10/23/2014 2:51:09 PM,1431 MERIDIAN PLACE NW,38.93370997817850,-77.03391779270980,20010,234620,77920,77920,1,1A,1A02,FOURTH,409,2,NONE,NONE,NONE,PHONE
14-00029667,UNKNOWN,S0301,Pothole,STRBRIMA,Street & Bridge Maintenance,2/7/2014 3:31:21 PM,CLOSED,1,DDOT,N,2/18/2014 8:49:51 AM,UNKNOWN,2/10/2014 2:38:52 PM,2/12/2014 3:31:21 PM,"POTHOLE STREET REPAIR ( WO # 405662 )Projected Start:  FEB 10, 2014    Finish: FEB 12, 2014   Actual Start:  N/A    Finish: FEB 15, 2014",,2/7/2014 3:31:21 PM,2/18/2014 9:06:23 AM,,0,0,,-100,-100,348291,,NONE,NONE,,,NONE,NONE,NONE,NONE,WEB
14-00029668,UNKNOWN,S0459,Tree Removal,URBAFORR,Urban Forrestry,2/7/2014 3:31:37 PM,CLOSED,1,DDOT,N,2/11/2014 3:14:06 PM,UNKNOWN,9/15/2014 11:03:39 AM,3/5/2015 3:31:37 PM,"STUMP REMOVAL ( WO # 405985 )Projected Start:  FEB 11, 2014    Finish: FEB 13, 2014   Actual Start:  N/A             Finish: N/A",,2/7/2014 3:31:37 PM,2/25/2015 2:04:15 PM,2405 IRVING PLACE SE,38.85207768249260,-76.97192258075150,20020,47719,25372,25372,8,8B,8B04,SEVENTH,702,36,NONE,NONE,NONE,PHONE
14-00029669,UNKNOWN,S0301,Pothole,STRBRIMA,Street & Bridge Maintenance,2/7/2014 3:32:53 PM,CLOSED,1,DDOT,N,2/10/2014 8:01:55 AM,UNKNOWN,2/10/2014 8:01:56 AM,2/12/2014 3:32:53 PM,"POTHOLE STREET REPAIR ( WO # 405643 )Projected Start:  FEB 10, 2014    Finish: FEB 12, 2014   Actual Start:  N/A    Finish: FEB 09, 2014",,2/7/2014 3:32:53 PM,2/10/2014 9:35:42 AM,ELLICOTT STREET NW & WISCONSIN AVENUE NW,38.95335338374590,-77.08195381421710,,0,276511,276698,3,3E,3E03,SECOND,202,11,NONE,NONE,NONE,WEB
14-00029670,UNKNOWN,S0031,Bulk Collection,SWMCOLBU,Bulk Collection,2/7/2014 3:33:11 PM,CLOSED,1,DPW,N,,UNKNOWN,2/20/2014 9:12:58 AM,3/4/2014 3:33:11 PM,,,2/7/2014 3:33:11 PM,9/9/2014 2:45:52 PM,1507 44TH STREET NW,38.90895697361930,-77.07985038042970,20007,270872,114039,114039,3,3D,3D09,SECOND,205,13,NONE,NONE,NONE,PHONE
14-00029671,UNKNOWN,DMV19,DMV - Vehicle Registration Issues,DRIVEHSE,Driver Vehicle Services,2/7/2014 3:34:24 PM,CLOSED,1,DMV,N,2/11/2014 2:50:00 PM,Mailed - Close SR,2/11/2014 2:50:56 PM,2/20/2014 1:34:24 AM,receipt mailed,,2/7/2014 3:34:24 PM,3/3/2014 12:21:10 PM,3724 9TH STREET NW,38.936639005774,-77.02549512795060,20010,230127,73122,73122,4,4C,4C06,FOURTH,404,18,NONE,NONE,NONE,PHONE
14-00029672,UNKNOWN,S0301,Pothole,STRBRIMA,Street & Bridge Maintenance,2/7/2014 3:34:46 PM,CLOSED,1,DDOT,N,2/10/2014 7:17:53 AM,UNKNOWN,2/10/2014 7:17:57 AM,2/12/2014 3:34:46 PM,"POTHOLE STREET REPAIR ( WO # 405620 )Projected Start:  FEB 10, 2014    Finish: FEB 12, 2014   Actual Start:  N/A    Finish: FEB 08, 2014",,2/7/2014 3:34:46 PM,2/10/2014 8:04:48 AM,1539 PENNSYLVANIA AVENUE SE,38.87863111391260,-76.98230629627550,20003,286312,124564,124564,6,6B,6B06,FIRST,106,26,NONE,NONE,NONE,WEB
14-00029673,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/7/2014 3:36:00 PM,CLOSED,1,DDOT,N,2/10/2014 11:23:33 PM,UNKNOWN,2/10/2014 11:18:42 PM,2/14/2014 3:36:00 PM,Comments update:  14-00029673-Broken Parking Meter  Meter Found Working,,2/7/2014 3:36:00 PM,2/11/2014 5:35:45 AM,3319 - 3499 BLOCK CONNECTICUT AVENUE NW,38.93482428158330,-77.05808053269730,,0,475154,408924,3,3C,3C05,SECOND,203,15,NONE,NONE,NONE,OPEN311
14-00029674,UNKNOWN,S0031,Bulk Collection,SWMCOLBU,Bulk Collection,2/7/2014 3:36:10 PM,CLOSED,1,DPW,N,,UNKNOWN,2/20/2014 2:45:33 PM,3/4/2014 3:36:10 PM,,,2/7/2014 3:36:10 PM,9/9/2014 2:45:52 PM,4463 C STREET SE,38.88633392932620,-76.94130391872930,20019,20914,10895,10895,7,7A,7A02,SIXTH,603,33,NONE,NONE,NONE,PHONE
14-00029675,UNKNOWN,S0031,Bulk Collection,SWMCOLBU,Bulk Collection,2/7/2014 3:36:49 PM,CLOSED,1,DPW,N,,UNKNOWN,2/17/2014 2:50:09 PM,3/4/2014 3:36:49 PM,,,2/7/2014 3:36:49 PM,2/17/2014 3:05:34 PM,4014 5TH STREET NW,38.94048807509690,-77.01936498261460,20011,247668,90547,90547,4,4C,4C08,FOURTH,407,18,NONE,NONE,NONE,PHONE
14-00029676,UNKNOWN,S0261,Parking Enforcement,PARKENFO,Parking Enforcement,2/7/2014 3:38:00 PM,CLOSED,1,DPW,Y,2/7/2014 9:11:00 PM,Not Enforceable - Close SR,2/7/2014 9:14:33 PM,2/11/2014 3:38:00 PM,CAN NOT INFORCE TIME WAS LIMITED @ 6:34PM,,2/7/2014 3:38:00 PM,2/7/2014 9:37:44 PM,3800 - 3899 BLOCK 10TH STREET NW,38.93814471801460,-77.02719856462540,,0,459589,395308,4,4C,4C06,FOURTH,404,18,NONE,NONE,NONE,PHONE
14-00029677,UNKNOWN,S0301,Pothole,STRBRIMA,Street & Bridge Maintenance,2/7/2014 3:39:30 PM,CLOSED,1,DDOT,N,2/10/2014 12:54:40 PM,UNKNOWN,2/10/2014 12:54:40 PM,2/12/2014 3:39:30 PM,"POTHOLE STREET REPAIR ( WO # 405663 )Projected Start:  FEB 10, 2014    Finish: FEB 12, 2014   Actual Start:  N/A    Finish: FEB 10, 2014",,2/7/2014 3:39:30 PM,8/28/2014 5:28:06 PM,FLORIDA AVENUE NE & NORTH CAPITOL STREET NE,0,0,,0,375340,334482,,NONE,NONE,,,NONE,NONE,NONE,NONE,PHONE
14-00029678,UNKNOWN,DMEXTEDL,DMV - Expired Temporary Driver's License/ID,DRIVEHSE,Driver Vehicle Services,2/7/2014 3:39:50 PM,CLOSED,1,DMV,N,2/18/2014 4:17:00 PM,Mailed - Close SR,2/18/2014 4:18:50 PM,2/25/2014 1:39:50 AM,"Greetings, the credential is currently being tracked and is scheduled to be delivered prior to the temporary credential expiring. If in the meantime, the customer�s temporary credential expires, the customer must visit any DMV service center for an updated temporary as any duplicate credential requires a new photograph. For further information on this request please contact 202-729-7021.",,2/7/2014 3:39:50 PM,3/3/2014 12:21:10 PM,1025 17TH STREET NE,38.90325256607620,-76.97874611553030,20002,75248,49056,49056,5,5B,5B10,FIFTH,507,23,NONE,NONE,NONE,PHONE
14-00029679,UNKNOWN,S0031,Bulk Collection,SWMCOLBU,Bulk Collection,2/7/2014 3:40:29 PM,CLOSED,1,DPW,N,,UNKNOWN,2/24/2014 12:57:25 PM,3/4/2014 3:40:29 PM,,,2/7/2014 3:40:29 PM,12/15/2014 10:03:34 AM,420 ORANGE STREET SE,38.84642245890080,-77.003073183111,20032,25713,14533,14533,8,8C,8C04,SEVENTH,707,39,NONE,NONE,NONE,PHONE
14-00029680,UNKNOWN,S0361,Sidewalk Repair,SISYINOD,SIOD ,2/7/2014 3:40:50 PM,CLOSED,1,DDOT,N,2/14/2014 6:49:11 AM,UNKNOWN,3/18/2014 11:52:14 AM,7/2/2014 3:40:50 PM,"SIDEWALK REMOVE & REPLACE ( WO # 406004 )Projected Start:  FEB 11, 2014    Finish: MAY 12, 2014   Actual Start:  N/A             Finish: N/A",,2/7/2014 3:40:50 PM,3/18/2014 12:10:22 PM,419 D STREET NE,38.89466124431130,-76.99981556271810,20002,25840,14712,14712,6,6C,6C08,FIRST,104,25,NONE,NONE,NONE,PHONE
14-00029681,UNKNOWN,S0301,Pothole,STRBRIMA,Street & Bridge Maintenance,2/7/2014 3:41:40 PM,CLOSED,1,DDOT,N,2/8/2014 7:57:37 AM,UNKNOWN,2/8/2014 7:54:13 AM,2/12/2014 3:41:40 PM,"Comments update:  14-00029681-South Dakota (Eastbound lane), just past the light of Taylor Street but, before the speed camera.......huge pothole that displays metal mesh By MARSHALL, CELICIA: 2/8/2014 7:54:10 AM THIS IS A DUPLICATE TICKET SAME AS 1301271. ",,2/7/2014 3:41:40 PM,2/9/2014 12:06:36 AM,SOUTH DAKOTA AVENUE NE & TAYLOR STREET NE,38.94072151485770,-76.98140501574080,,0,206985,206985,5,5A,5A08,FIFTH,504,24,NONE,NONE,NONE,WEB
